Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrent Month,SumOfBudget,BudgetVariance,BudgetVariancePercentage,SumOfPrevious Month,VarianceFromPreviousMonth,VarianceFromPreviousMonthPercentage
24-Oct,Corporate & Hold Co - BL,0000,None,Project 88,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1006 - Bid Bond Comm.,SAR,48788.30461,53667.13507,-4878.83046,-9.09 %,44353.00419,4435.30042,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 88,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,5725.935368,5725.935368,0,0.00 %,4771.612807,954.322561,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 88,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,277478.7765,2497308.988,-2219830.212,-88.89 %,308309.7516,-30830.9751,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 88,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1031 - Recovery of Costs,SAR,-310629.4806,-341692.4287,31062.9481,-9.09 %,-357045.38,46415.8994,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 88,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-30341.11311,-30341.11311,0,0.00 %,-388.9886296,-29952.12448,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 88,Intercompany 240,Accrued expenses and other payables,Current liabilities,Deferred Revenue (C),22261/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 88,Intercompany 240,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,3156.921005,28412.28905,-25255.36805,-88.89 %,2104.614004,1052.307001,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 89,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,448.8330341,4039.497307,-3590.664273,-88.89 %,299.2220227,149.6110114,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 89,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,3249.102334,3574.012567,-324.910233,-9.09 %,2166.068223,1083.034111,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 89,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1010 - Other Expenses,SAR,800.2692998,800.2692998,0,0.00 %,533.5128665,266.7564333,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 89,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,508321.7834,4574896.05,-4066574.267,-88.89 %,462110.7121,46211.0713,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 89,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-558131.4183,-613944.5601,55813.1418,-9.09 %,-465109.5153,-93021.903,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 89,Intercompany 207,Accrued expenses and other payables,Current liabilities,Deferred Revenue (C),22261/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 89,Intercompany 207,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,2315.085278,2546.593806,-231.508528,-9.09 %,2104.62298,210.462298,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 90,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/0000 - Other,SAR,1255.20377,1255.20377,0,0.00 %,1394.670856,-139.467086,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 90,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,1242.190305,11179.71275,-9937.522445,-88.89 %,1129.263914,112.926391,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 90,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1003 - Technical Consult.,SAR,35170.55655,38687.61221,-3517.05566,-9.09 %,29308.79713,5861.75942,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 90,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,3500.956912,3500.956912,0,0.00 %,3889.952124,-388.995212,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 90,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1010 - Other Expenses,SAR,1644.982047,14804.83842,-13159.85637,-88.89 %,1890.783962,-245.801915,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 90,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-2933850.503,-3227235.553,293385.05,-9.09 %,-37613.46798,-2896237.035,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 91,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,574.1921005,574.1921005,0,0.00 %,521.9928187,52.1992818,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 91,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-626.3913824,-5637.522442,5011.13106,-88.89 %,-521.9928187,-104.3985637,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 92,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1006 - Bid Bond Comm.,SAR,814088.9408,895497.8348,-81408.894,-9.09 %,904543.2675,-90454.3267,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 92,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-786952.6427,-786952.6427,0,0.00 %,-904543.2675,117590.6248,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 93,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,266458.456,2398126.104,-2131667.648,-88.89 %,3416.134051,263042.3219,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 93,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-5124.201077,-5636.621185,512.420108,-9.09 %,-3416.134051,-1708.067026,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 94,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,205.5655296,205.5655296,0,0.00 %,137.0436864,68.5218432,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 94,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-205.5655296,-1850.089767,1644.524237,-88.89 %,-137.0436864,-68.5218432,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 195,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-150192.9961,-165212.2957,15019.2996,-9.09 %,-136539.0874,-13653.9087,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 195,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,163846.9048,163846.9048,0,0.00 %,136539.0874,27307.8174,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 340,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,11779.09874,106011.8887,-94232.78996,-88.89 %,13087.88749,-1308.78875,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 340,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-587218.4557,-587707.5831,489.1274,-0.08 %,-13087.88749,-574130.5682,4386.73 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/0000 - Other,SAR,5807.001795,52263.01616,-46456.01437,-88.89 %,3871.33453,1935.667265,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,16372.47307,18009.72038,-1637.24731,-9.09 %,10914.98205,5457.49102,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1003 - Technical Consult.,SAR,94135.21544,94135.21544,0,0.00 %,62756.81029,31378.40515,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1006 - Bid Bond Comm.,SAR,10983.21364,98848.9228,-87865.70916,-88.89 %,9984.739677,998.473963,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,61547.18492,67701.90341,-6154.71849,-9.09 %,51289.32077,10257.86415,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1008 - Meals & Entertain.,SAR,2117.679533,2117.679533,0,0.00 %,2352.977259,-235.297726,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1009 - Postage, Courier & Telecom",SAR,46.47187313,418.2468582,-371.7749851,-88.89 %,42.24715739,4.22471574,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1010 - Other Expenses,SAR,85.09874327,93.60861759,-8.50987432,-9.09 %,70.91561939,14.18312388,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,729804.781,729804.781,0,0.00 %,810894.2011,-81089.4201,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-2963887.812,-26674990.31,23711102.5,-88.89 %,-3406767.6,442879.788,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 95,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,191458025.6,210603828.2,-19145802.6,-9.09 %,2454590.072,189003435.5,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 96,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,104908.5503,104908.5503,0,0.00 %,95371.40934,9537.14096,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 96,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,2522.082585,22698.74327,-20176.66069,-88.89 %,2101.735488,420.347097,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 96,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1009 - Postage, Courier & Telecom",SAR,323.959605,356.3555655,-32.3959605,-9.09 %,359.9551167,-35.9955117,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 96,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1010 - Other Expenses,SAR,1728.025135,1728.025135,0,0.00 %,1986.235787,-258.210652,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 96,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,2040808.151,18367273.36,-16326465.21,-88.89 %,26164.20706,2014643.944,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 96,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-188975.3142,-207872.8456,18897.5314,-9.09 %,-125983.5428,-62991.7714,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1001 - Financial Consult.,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1003 - Technical Consult.,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1004 - Other Consult.,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1005 - Five Capital,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1006 - Bid Bond Comm.,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1008 - Meals & Entertain.,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1009 - Postage, Courier & Telecom",SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1010 - Other Expenses,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 97,Intercompany 99,Accrued expenses and other payables,Current liabilities,Deferred Revenue (C),22261/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 97,Intercompany 99,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,11781.86715,11781.86715,0,0.00 %,9818.222621,1963.644529,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 98,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,239.7899461,239.7899461,0,0.00 %,266.4332735,-26.6433274,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 98,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1008 - Meals & Entertain.,SAR,815.6753441,7341.078097,-6525.402753,-88.89 %,741.5230401,74.152304,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 98,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,9173.842011,10091.22621,-917.384199,-9.09 %,7644.868342,1528.973669,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 98,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-7787.54219,-7787.54219,0,0.00 %,-8652.824656,865.282466,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 99,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1004 - Other Consult.,SAR,1789.737343,16107.63609,-14317.89875,-88.89 %,2057.16936,-267.432017,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 99,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,1591506.445,1750657.09,-159150.645,-9.09 %,20403.92879,1571102.516,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 99,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1009 - Postage, Courier & Telecom",SAR,376.0439856,376.0439856,0,0.00 %,341.8581688,34.1858168,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 99,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1010 - Other Expenses,SAR,20530.7289,184776.5601,-164245.8312,-88.89 %,17108.94075,3421.78815,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 99,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-35920.70736,-39512.7781,3592.07074,-9.09 %,-39911.89707,3991.18971,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 99,Intercompany 95,Accrued expenses and other payables,Current liabilities,Deferred Revenue (C),22261/0000 - Other,SAR,-21039.00808,-21039.00808,0,0.00 %,-14026.00539,-7013.00269,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 99,Intercompany 95,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,5049.368941,45444.32047,-40394.95153,-88.89 %,5610.409934,-561.040993,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1001 - Financial Consult.,SAR,20391.84461,20391.84461,0,0.00 %,23438.90186,-3047.05725,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,6939399.066,62454591.6,-55515192.53,-88.89 %,88966.6547,6850432.411,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1003 - Technical Consult.,SAR,46107.49551,50718.24506,-4610.74955,-9.09 %,30738.33034,15369.16517,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1005 - Five Capital,SAR,3085.722621,3085.722621,0,0.00 %,2057.148414,1028.574207,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,58547.4237,526926.8133,-468379.3896,-88.89 %,39031.6158,19515.8079,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1008 - Meals & Entertain.,SAR,116.8527828,128.538061,-11.6852782,-9.09 %,106.2298025,10.6229803,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1009 - Postage, Courier & Telecom",SAR,1962.642729,1962.642729,0,0.00 %,1635.535607,327.107122,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,37154.42639,334389.8375,-297235.4111,-88.89 %,41282.69599,-4128.2696,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 100,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-197713.6879,-217485.0567,19771.3688,-9.09 %,-227257.1125,29543.4246,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 101,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1002 - Legal Consult.,SAR,1185554.955,1185554.955,0,0.00 %,15199.4225,1170355.533,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 101,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,7466.337522,67197.0377,-59730.70018,-88.89 %,4977.558348,2488.779174,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 101,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1008 - Meals & Entertain.,SAR,49.82046679,54.80251346,-4.98204667,-9.09 %,33.21364452,16.60682227,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 101,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,186246.737,186246.737,0,0.00 %,124164.4913,62082.2457,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 101,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-158812.1544,-1429309.39,1270497.236,-88.89 %,-144374.6858,-14437.4686,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 102,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,23.33931777,25.67324955,-2.33393178,-9.09 %,19.44943148,3.88988629,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 102,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1008 - Meals & Entertain.,SAR,57.43626571,57.43626571,0,0.00 %,63.81807301,-6.3818073,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 102,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-91.59425494,-824.3482944,732.7540395,-88.89 %,-83.26750449,-8.32675045,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 102,Intercompany 37,"Prepaid, Interest and Other receivable (C) ",Current assets,Other receivables,12432/1003 - Accrual - Service Charges Income,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 103,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,2806.416517,3087.058169,-280.641652,-9.09 %,2338.680431,467.736086,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 103,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1082 - Write off,SAR,-2104.812388,-2104.812388,0,0.00 %,-2338.680431,233.868043,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 104,Intercompany 182,FV of derivative financial instruments (Assets - C),Current assets,FV of derivative financial instruments (Assets - C),12601/1001 - FV of interest rate swaps [IRS] (Asset - C),SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 104,Intercompany 182,FV of derivative financial instruments (Liabilities - C),Current liabilities,FV of derivative financial instruments (Liabilities - C),22501/1001 - FV of interest rate swaps [IRS] (Liability - C),SAR,-88312145.95,-97143360.55,8831214.6,-9.09 %,-98124606.62,9812460.67,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 104,Intercompany 182,FV of derivative financial instruments (Liabilities - NC),Non current liabilities,FV of derivative financial instruments (Liabilities - NC),21301/1048 - FV of interest rate swaps [IRS] - ABSA Bank Limited,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 104,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 104,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 104,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1010 - Other Expenses,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 104,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 264,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,21347.29443,23482.02388,-2134.72945,-9.09 %,23719.21604,-2371.92161,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 264,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-20635.71795,-20635.71795,0,0.00 %,-23719.21604,3083.49809,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 265,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1001 - Financial Consult.,SAR,700179.5332,6301615.799,-5601436.266,-88.89 %,8976.660682,691202.8725,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 265,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,108540.0224,119394.0247,-10854.0023,-9.09 %,72360.01496,36180.00744,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 265,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-122005.0135,-763262.3923,641257.3788,-84.02 %,-81336.67564,-40668.33786,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 341,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,"12301/1007 - Boarding, Lodging & Travel",SAR,491.4024536,540.542699,-49.1402454,-9.09 %,446.7295033,44.6729503,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 341,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-536.0754039,-536.0754039,0,0.00 %,-446.7295033,-89.3459006,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 370,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,21356.06284,192204.5655,-170848.5027,-88.89 %,23728.95871,-2372.89587,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 370,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-20644.19408,-22708.61348,2064.4194,-9.09 %,-23728.95871,3084.76463,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 403,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,5207597.415,5207597.415,0,0.00 %,66764.06942,5140833.346,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 403,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-100146.1041,-901314.9372,801168.8331,-88.89 %,-66764.06942,-33382.03468,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 404,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1021 - Staff cost (allocated),SAR,3388.137343,3726.951077,-338.813734,-9.09 %,2258.758229,1129.379114,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 404,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1081 - Provision,SAR,-3388.137343,-3388.137343,0,0.00 %,-2258.758229,-1129.379114,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 105,Intercompany 182,Projects in progress,Current assets,Projects in progress - Development projects,12301/1001 - Financial Consult.,SAR,10676.6158,96089.54219,-85412.92639,-88.89 %,9706.014363,970.601437,10.00 %
